Datum-1;Schluss-1;Eröffnung-1;Tageshoch-1;Tagestief-1;Datum;Schluss;Eröffnung;Tageshoch;Tagestief;Rechnung;Ergebnis
12.04.2021;15.215,00;15.238,85;15.275,33;15.212,24;13.04.2021;15.234,36;15.244,62;15.281,65;15.184,95;25,21;0
09.04.2021;15.234,16;15.198,14;15.243,56;15.157,21;12.04.2021;15.215,00;15.238,85;15.275,33;15.212,24;-19,36;1
08.04.2021;15.202,68;15.236,44;15.247,78;15.144,11;09.04.2021;15.234,16;15.198,14;15.243,56;15.157,21;19,16;0
07.04.2021;15.176,36;15.221,23;15.242,73;15.160,28;08.04.2021;15.202,68;15.236,44;15.247,78;15.144,11;-31,48;1
06.04.2021;15.212,68;15.289,97;15.311,86;15.209,90;07.04.2021;15.176,36;15.221,23;15.242,73;15.160,28;-26,32;1
01.04.2021;15.107,17;15.053,77;15.110,92;15.032,52;06.04.2021;15.212,68;15.289,97;15.311,86;15.209,90;36,32;0
31.03.2021;15.008,34;14.982,12;15.026,49;14.973,59;01.04.2021;15.107,17;15.053,77;15.110,92;15.032,52;-105,51;1
30.03.2021;15.008,61;14.897,66;15.029,70;14.890,28;31.03.2021;15.008,34;14.982,12;15.026,49;14.973,59;-98,83;1
29.03.2021;14.817,72;14.809,80;14.845,42;14.756,04;30.03.2021;15.008,61;14.897,66;15.029,70;14.890,28;0,27;0
26.03.2021;14.748,94;14.714,59;14.776,32;14.693,94;29.03.2021;14.817,72;14.809,80;14.845,42;14.756,04;-190,89;1
25.03.2021;14.621,36;14.550,40;14.621,36;14.422,65;26.03.2021;14.748,94;14.714,59;14.776,32;14.693,94;-68,78;1
24.03.2021;14.610,39;14.543,58;14.619,04;14.523,12;25.03.2021;14.621,36;14.550,40;14.621,36;14.422,65;-127,58;1
23.03.2021;14.662,02;14.582,07;14.707,37;14.516,22;24.03.2021;14.610,39;14.543,58;14.619,04;14.523,12;-10,97;1
22.03.2021;14.657,21;14.551,17;14.677,12;14.539,27;23.03.2021;14.662,02;14.582,07;14.707,37;14.516,22;51,63;0
19.03.2021;14.621,00;14.697,26;14.747,56;14.563,21;22.03.2021;14.657,21;14.551,17;14.677,12;14.539,27;-4,81;1
18.03.2021;14.775,52;14.673,72;14.804,01;14.669,95;19.03.2021;14.621,00;14.697,26;14.747,56;14.563,21;-36,21;1
17.03.2021;14.596,61;14.565,29;14.601,63;14.539,70;18.03.2021;14.775,52;14.673,72;14.804,01;14.669,95;154,52;0
16.03.2021;14.557,58;14.519,72;14.601,79;14.511,30;17.03.2021;14.596,61;14.565,29;14.601,63;14.539,70;-178,91;1
15.03.2021;14.461,42;14.504,49;14.572,24;14.409,35;16.03.2021;14.557,58;14.519,72;14.601,79;14.511,30;-39,03;1
12.03.2021;14.502,39;14.492,45;14.527,42;14.450,72;15.03.2021;14.461,42;14.504,49;14.572,24;14.409,35;-96,16;1
11.03.2021;14.569,39;14.553,54;14.595,02;14.515,07;12.03.2021;14.502,39;14.492,45;14.527,42;14.450,72;40,97;0
10.03.2021;14.540,25;14.439,45;14.560,97;14.408,52;11.03.2021;14.569,39;14.553,54;14.595,02;14.515,07;67;0
09.03.2021;14.437,94;14.345,51;14.475,65;14.309,35;10.03.2021;14.540,25;14.439,45;14.560,97;14.408,52;-29,14;1
08.03.2021;14.380,91;14.024,57;14.402,92;13.977,13;09.03.2021;14.437,94;14.345,51;14.475,65;14.309,35;-102,31;1
05.03.2021;13.920,69;13.958,54;14.068,03;13.868,20;08.03.2021;14.380,91;14.024,57;14.402,92;13.977,13;-57,03;1
04.03.2021;14.056,34;14.015,44;14.095,81;13.959,27;05.03.2021;13.920,69;13.958,54;14.068,03;13.868,20;-460,22;1
03.03.2021;14.080,03;14.130,86;14.197,49;13.979,73;04.03.2021;14.056,34;14.015,44;14.095,81;13.959,27;135,65;0
02.03.2021;14.039,80;13.962,07;14.101,79;13.961,62;03.03.2021;14.080,03;14.130,86;14.197,49;13.979,73;23,69;0
01.03.2021;14.012,82;13.962,43;14.022,02;13.873,83;02.03.2021;14.039,80;13.962,07;14.101,79;13.961,62;-40,23;1
26.02.2021;13.786,29;13.685,80;13.881,26;13.673,07;01.03.2021;14.012,82;13.962,43;14.022,02;13.873,83;-26,98;1
25.02.2021;13.879,33;14.045,02;14.051,01;13.879,17;26.02.2021;13.786,29;13.685,80;13.881,26;13.673,07;-226,53;1
24.02.2021;13.976,00;13.855,85;13.998,30;13.855,85;25.02.2021;13.879,33;14.045,02;14.051,01;13.879,17;93,04;0
23.02.2021;13.864,81;13.984,98;13.989,24;13.664,71;24.02.2021;13.976,00;13.855,85;13.998,30;13.855,85;96,67;0
22.02.2021;13.950,04;13.858,56;13.975,08;13.802,55;23.02.2021;13.864,81;13.984,98;13.989,24;13.664,71;-111,19;1
19.02.2021;13.993,23;13.941,40;14.026,18;13.892,72;22.02.2021;13.950,04;13.858,56;13.975,08;13.802,55;85,23;0
18.02.2021;13.886,93;13.926,84;13.961,05;13.853,77;19.02.2021;13.993,23;13.941,40;14.026,18;13.892,72;43,19;0
17.02.2021;13.909,27;14.028,10;14.036,95;13.894,06;18.02.2021;13.886,93;13.926,84;13.961,05;13.853,77;-106,3;1
16.02.2021;14.064,60;14.105,13;14.130,74;14.049,98;17.02.2021;13.909,27;14.028,10;14.036,95;13.894,06;22,34;0
15.02.2021;14.109,48;14.109,07;14.131,21;14.074,25;16.02.2021;14.064,60;14.105,13;14.130,74;14.049,98;155,33;0
12.02.2021;14.049,89;13.976,13;14.050,96;13.916,73;15.02.2021;14.109,48;14.109,07;14.131,21;14.074,25;44,88;0
11.02.2021;14.040,91;13.958,39;14.053,06;13.916,63;12.02.2021;14.049,89;13.976,13;14.050,96;13.916,73;-59,59;1
10.02.2021;13.932,97;14.063,12;14.063,12;13.830,12;11.02.2021;14.040,91;13.958,39;14.053,06;13.916,63;-8,98;1
09.02.2021;14.011,80;14.055,60;14.061,61;13.962,14;10.02.2021;13.932,97;14.063,12;14.063,12;13.830,12;-107,94;1
08.02.2021;14.059,91;14.156,84;14.169,49;14.056,55;09.02.2021;14.011,80;14.055,60;14.061,61;13.962,14;78,83;0
05.02.2021;14.056,72;14.061,69;14.114,44;14.013,13;08.02.2021;14.059,91;14.156,84;14.169,49;14.056,55;48,11;0
04.02.2021;14.060,29;13.971,94;14.069,89;13.955,70;05.02.2021;14.056,72;14.061,69;14.114,44;14.013,13;-3,19;1
03.02.2021;13.933,63;13.986,72;13.988,15;13.866,39;04.02.2021;14.060,29;13.971,94;14.069,89;13.955,70;3,57;0
02.02.2021;13.835,16;13.724,12;13.844,94;13.693,93;03.02.2021;13.933,63;13.986,72;13.988,15;13.866,39;-126,66;1
01.02.2021;13.622,02;13.559,94;13.648,05;13.518,45;02.02.2021;13.835,16;13.724,12;13.844,94;13.693,93;-98,47;1
29.01.2021;13.432,87;13.474,20;13.593,03;13.403,74;01.02.2021;13.622,02;13.559,94;13.648,05;13.518,45;-213,14;1
28.01.2021;13.665,93;13.500,64;13.698,54;13.310,95;29.01.2021;13.432,87;13.474,20;13.593,03;13.403,74;-189,15;1
27.01.2021;13.620,46;13.827,47;13.851,84;13.475,03;28.01.2021;13.665,93;13.500,64;13.698,54;13.310,95;233,06;0
26.01.2021;13.870,99;13.687,39;13.925,73;13.670,23;27.01.2021;13.620,46;13.827,47;13.851,84;13.475,03;-45,47;1
25.01.2021;13.643,95;13.943,96;13.946,85;13.599,78;26.01.2021;13.870,99;13.687,39;13.925,73;13.670,23;250,53;0
22.01.2021;13.873,97;13.858,05;13.897,73;13.744,26;25.01.2021;13.643,95;13.943,96;13.946,85;13.599,78;-227,04;1
21.01.2021;13.906,67;13.997,78;14.026,35;13.878,84;22.01.2021;13.873,97;13.858,05;13.897,73;13.744,26;230,02;0
20.01.2021;13.921,37;13.848,77;13.952,20;13.835,99;21.01.2021;13.906,67;13.997,78;14.026,35;13.878,84;32,7;0
19.01.2021;13.815,06;13.935,93;13.940,05;13.804,46;20.01.2021;13.921,37;13.848,77;13.952,20;13.835,99;14,7;0
18.01.2021;13.848,35;13.701,98;13.850,40;13.701,74;19.01.2021;13.815,06;13.935,93;13.940,05;13.804,46;-106,31;1
15.01.2021;13.787,73;13.904,30;13.958,16;13.672,67;18.01.2021;13.848,35;13.701,98;13.850,40;13.701,74;33,29;0
14.01.2021;13.988,70;13.973,77;14.030,22;13.942,88;15.01.2021;13.787,73;13.904,30;13.958,16;13.672,67;-60,62;1
13.01.2021;13.939,71;13.899,06;13.978,43;13.868,83;14.01.2021;13.988,70;13.973,77;14.030,22;13.942,88;200,97;0
12.01.2021;13.925,06;13.985,89;13.999,57;13.871,44;13.01.2021;13.939,71;13.899,06;13.978,43;13.868,83;-48,99;1
11.01.2021;13.936,66;13.986,42;14.007,65;13.806,69;12.01.2021;13.925,06;13.985,89;13.999,57;13.871,44;-14,65;1
08.01.2021;14.049,53;14.106,60;14.131,52;14.007,71;11.01.2021;13.936,66;13.986,42;14.007,65;13.806,69;11,6;0
07.01.2021;13.968,24;13.946,53;14.007,47;13.902,24;08.01.2021;14.049,53;14.106,60;14.131,52;14.007,71;112,87;0
06.01.2021;13.891,97;13.687,08;13.919,23;13.617,11;07.01.2021;13.968,24;13.946,53;14.007,47;13.902,24;-81,29;1
05.01.2021;13.651,22;13.680,69;13.768,13;13.566,47;06.01.2021;13.891,97;13.687,08;13.919,23;13.617,11;-76,27;1
04.01.2021;13.726,74;13.890,22;13.907,13;13.647,79;05.01.2021;13.651,22;13.680,69;13.768,13;13.566,47;-240,75;1
30.12.2020;13.718,78;13.750,99;13.797,09;13.717,47;04.01.2021;13.726,74;13.890,22;13.907,13;13.647,79;75,52;0
29.12.2020;13.761,38;13.873,35;13.903,11;13.747,08;30.12.2020;13.718,78;13.750,99;13.797,09;13.717,47;-7,96;1
28.12.2020;13.790,29;13.779,05;13.818,65;13.740,21;29.12.2020;13.761,38;13.873,35;13.903,11;13.747,08;42,6;0
23.12.2020;13.587,23;13.456,63;13.601,71;13.456,63;28.12.2020;13.790,29;13.779,05;13.818,65;13.740,21;28,91;0
22.12.2020;13.418,11;13.311,02;13.441,59;13.310,42;23.12.2020;13.587,23;13.456,63;13.601,71;13.456,63;-203,06;1
21.12.2020;13.246,30;13.398,22;13.399,99;13.060,34;22.12.2020;13.418,11;13.311,02;13.441,59;13.310,42;-169,12;1
18.12.2020;13.630,51;13.649,66;13.774,45;13.624,25;21.12.2020;13.246,30;13.398,22;13.399,99;13.060,34;-171,81;1
17.12.2020;13.667,25;13.691,49;13.725,84;13.649,53;18.12.2020;13.630,51;13.649,66;13.774,45;13.624,25;384,21;0
16.12.2020;13.565,98;13.416,29;13.596,74;13.412,41;17.12.2020;13.667,25;13.691,49;13.725,84;13.649,53;36,74;0
15.12.2020;13.362,87;13.216,49;13.374,96;13.210,15;16.12.2020;13.565,98;13.416,29;13.596,74;13.412,41;-101,27;1
14.12.2020;13.223,16;13.224,26;13.292,30;13.190,53;15.12.2020;13.362,87;13.216,49;13.374,96;13.210,15;-203,11;1
11.12.2020;13.114,30;13.255,24;13.265,61;13.009,48;14.12.2020;13.223,16;13.224,26;13.292,30;13.190,53;-139,71;1
