Datum-1;Schluss-1;Eröffnung-1;Tageshoch-1;Tagestief-1;Datum;Schluss;Eröffnung;Tageshoch;Tagestief;Rechnung;Ergebnis
23.11.2020;13.126,97;13.215,44;13.312,42;13.126,97;24.11.2020;13.292,44;13.254,42;13.296,76;13.192,32;2,64;0
20.11.2020;13.137,25;13.054,64;13.172,91;13.054,64;23.11.2020;13.126,97;13.215,44;13.312,42;13.126,97;-165,47;1
19.11.2020;13.086,16;13.101,71;13.138,14;13.034,51;20.11.2020;13.137,25;13.054,64;13.172,91;13.054,64;10,28;0
18.11.2020;13.201,89;13.086,43;13.213,63;13.074,67;19.11.2020;13.086,16;13.101,71;13.138,14;13.034,51;-51,09;1
17.11.2020;13.133,47;13.130,54;13.151,02;13.050,41;18.11.2020;13.201,89;13.086,43;13.213,63;13.074,67;115,73;0
16.11.2020;13.138,61;13.170,52;13.277,45;13.081,11;17.11.2020;13.133,47;13.130,54;13.151,02;13.050,41;-68,42;1
13.11.2020;13.076,72;13.036,97;13.145,48;13.004,82;16.11.2020;13.138,61;13.170,52;13.277,45;13.081,11;5,14;0
12.11.2020;13.052,95;13.073,48;13.168,09;13.022,28;13.11.2020;13.076,72;13.036,97;13.145,48;13.004,82;-61,89;1
11.11.2020;13.216,18;13.205,95;13.244,32;13.138,76;12.11.2020;13.052,95;13.073,48;13.168,09;13.022,28;-23,77;1
10.11.2020;13.163,11;13.109,77;13.237,59;13.018,43;11.11.2020;13.216,18;13.205,95;13.244,32;13.138,76;163,23;0
09.11.2020;13.095,97;12.713,19;13.297,05;12.670,58;10.11.2020;13.163,11;13.109,77;13.237,59;13.018,43;-53,07;1
06.11.2020;12.480,02;12.531,74;12.595,87;12.370,08;09.11.2020;13.095,97;12.713,19;13.297,05;12.670,58;-67,14;1
05.11.2020;12.568,09;12.420,88;12.591,30;12.398,59;06.11.2020;12.480,02;12.531,74;12.595,87;12.370,08;-615,95;1
04.11.2020;12.324,22;11.896,11;12.329,96;11.848,21;05.11.2020;12.568,09;12.420,88;12.591,30;12.398,59;88,07;0
03.11.2020;12.088,98;11.858,81;12.088,98;11.851,03;04.11.2020;12.324,22;11.896,11;12.329,96;11.848,21;-243,87;1
02.11.2020;11.788,28;11.602,91;11.838,00;11.551,36;03.11.2020;12.088,98;11.858,81;12.088,98;11.851,03;-235,24;1
30.10.2020;11.556,48;11.472,61;11.614,13;11.450,08;02.11.2020;11.788,28;11.602,91;11.838,00;11.551,36;-300,70;1
29.10.2020;11.598,07;11.631,07;11.707,43;11.458,56;30.10.2020;11.556,48;11.472,61;11.614,13;11.450,08;-231,80;1
28.10.2020;11.560,51;11.848,31;11.852,02;11.457,12;29.10.2020;11.598,07;11.631,07;11.707,43;11.458,56;41,59;0
27.10.2020;12.063,57;12.206,42;12.223,60;12.034,80;28.10.2020;11.560,51;11.848,31;11.852,02;11.457,12;-37,56;1
26.10.2020;12.177,18;12.303,41;12.404,51;12.174,22;27.10.2020;12.063,57;12.206,42;12.223,60;12.034,80;503,06;0
23.10.2020;12.645,75;12.517,98;12.718,27;12.514,99;26.10.2020;12.177,18;12.303,41;12.404,51;12.174,22;113,61;0
22.10.2020;12.543,06;12.429,41;12.583,02;12.345,45;23.10.2020;12.645,75;12.517,98;12.718,27;12.514,99;468,57;0
21.10.2020;12.557,64;12.764,45;12.765,05;12.545,59;22.10.2020;12.543,06;12.429,41;12.583,02;12.345,45;-102,69;1
20.10.2020;12.736,95;12.819,15;12.850,29;12.725,45;21.10.2020;12.557,64;12.764,45;12.765,05;12.545,59;14,58;0
19.10.2020;12.854,66;12.948,63;13.028,73;12.820,26;20.10.2020;12.736,95;12.819,15;12.850,29;12.725,45;179,31;0
16.10.2020;12.908,99;12.773,35;12.955,86;12.733,06;19.10.2020;12.854,66;12.948,63;13.028,73;12.820,26;117,71;0
15.10.2020;12.703,75;12.826,13;12.839,55;12.599,82;16.10.2020;12.908,99;12.773,35;12.955,86;12.733,06;54,33;0
14.10.2020;13.028,06;13.012,69;13.066,44;12.975,12;15.10.2020;12.703,75;12.826,13;12.839,55;12.599,82;-205,24;1
13.10.2020;13.018,99;13.132,90;13.132,90;12.959,70;14.10.2020;13.028,06;13.012,69;13.066,44;12.975,12;324,31;0
12.10.2020;13.138,41;13.086,06;13.151,80;13.058,34;13.10.2020;13.018,99;13.132,90;13.132,90;12.959,70;-9,07;1
09.10.2020;13.051,23;13.070,04;13.096,44;13.009,98;12.10.2020;13.138,41;13.086,06;13.151,80;13.058,34;119,42;0
08.10.2020;13.042,21;13.011,23;13.100,85;12.956,64;09.10.2020;13.051,23;13.070,04;13.096,44;13.009,98;-87,18;1
07.10.2020;12.928,57;12.901,29;12.959,02;12.837,11;08.10.2020;13.042,21;13.011,23;13.100,85;12.956,64;-9,02;1
06.10.2020;12.906,02;12.858,97;12.966,09;12.779,65;07.10.2020;12.928,57;12.901,29;12.959,02;12.837,11;-113,64;1
05.10.2020;12.828,31;12.824,05;12.842,48;12.727,75;06.10.2020;12.906,02;12.858,97;12.966,09;12.779,65;-22,55;1
02.10.2020;12.689,04;12.558,78;12.690,25;12.539,86;05.10.2020;12.828,31;12.824,05;12.842,48;12.727,75;-77,71;1
01.10.2020;12.730,77;12.812,08;12.836,65;12.671,23;02.10.2020;12.689,04;12.558,78;12.690,25;12.539,86;-139,27;1
30.09.2020;12.760,73;12.754,77;12.869,96;12.698,42;01.10.2020;12.730,77;12.812,08;12.836,65;12.671,23;41,73;0
29.09.2020;12.825,82;12.817,79;12.859,14;12.738,30;30.09.2020;12.760,73;12.754,77;12.869,96;12.698,42;29,96;0
28.09.2020;12.870,87;12.673,73;12.873,40;12.660,15;29.09.2020;12.825,82;12.817,79;12.859,14;12.738,30;65,09;0
25.09.2020;12.469,20;12.615,91;12.622,77;12.341,58;28.09.2020;12.870,87;12.673,73;12.873,40;12.660,15;45,05;0
24.09.2020;12.606,57;12.520,47;12.684,80;12.512,50;25.09.2020;12.469,20;12.615,91;12.622,77;12.341,58;-401,67;1
23.09.2020;12.642,97;12.737,32;12.830,70;12.642,97;24.09.2020;12.606,57;12.520,47;12.684,80;12.512,50;137,37;0
22.09.2020;12.594,39;12.629,71;12.698,12;12.592,97;23.09.2020;12.642,97;12.737,32;12.830,70;12.642,97;36,40;0
21.09.2020;12.542,44;12.998,90;12.998,90;12.505,16;22.09.2020;12.594,39;12.629,71;12.698,12;12.592,97;-48,58;1
